States,value
Alabama,19.1
Alaska,19.4
Arizona,8
Arkansas,31.2
California,29.3
Connecticut,26.9
Delaware,27.4
Florida,30.5
Georgia,16
Hawaii,44.3
Idaho,15.3
Illinois,23.1
Indiana,20.1
Iowa,39.8
Kansas,16.5
Kentucky,12
Maine,53.9
Maryland,35.6
Massachusetts,36
Michigan,23.7
Minnesota,25.7
Mississippi,36.4
Missouri,22.2
Montana,20.2
Nebraska,16.6
Nevada,36.1
New Hampshire,42.2
New Jersey,43.2
New York,52.8
North Carolina,57
North Dakota,22.3
Ohio,21.7
Oregon,42.5
Pennsylvania,19.9
Rhode Island,45.1
South Carolina,29.7
South Dakota,7.7
Tennessee,16.7
Vermont,50
Virginia,27.2
Washington,31.6
West Virginia,37.9
Wisconsin,34.6
Wyoming,18.1
