County,AFGHANISTAN,BELARUS,BHUTAN,BURMA,CAMBODIA,CAMEROON,CONGO,CUBA,ECUADOR,EL SALVADOR,ERITREA,ETHIOPIA,GAMBIA,HONDURAS,IRAN,IRAQ,KENYA,LIBERIA,MOLDOVA,NEPAL,RUSSIA,RWANDA,SIERRA LEONE,SOMALIA,SRI LANKA,SUDAN,TANZANIA,UKRAINE,WEST BANK
ANOKA,10,0,0,0,0,0,0,0,0,0,2,7,0,0,0,87,0,0,4,0,0,0,0,39,0,0,0,6,0
BENTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
BLUE EARTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
CARVER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
DAKOTA,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0
HENNEPIN,7,4,13,0,4,7,2,6,1,0,0,12,2,0,5,14,2,2,5,0,0,0,1,356,5,0,4,3,0
KANDIYOHI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
LYON,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
MOWER,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NICOLLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
NOBLES,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLMSTED,0,0,0,0,0,0,16,0,0,0,0,14,0,0,0,44,0,0,0,0,0,0,0,54,0,8,0,0,0
OTTER TAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
RAMSEY,5,0,64,816,0,0,8,0,0,1,9,31,0,0,0,26,0,1,0,1,0,0,0,311,0,0,0,0,4
RICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
SCOTT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,2,0,0,0,0,0
STEARNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,257,0,0,0,0,0
STEELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
WASHINGTON,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
WRIGHT,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
TOTAL,22,10,77,838,4,7,29,9,1,1,13,70,2,1,5,191,6,3,9,1,5,1,1,"1,127",5,8,4,21,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
